見出し語（品詞）,訳
consummate（形容詞）,完璧な、実に見事な、途方もない（限定用法）
consummate（他動詞）,…を完成する
daunting（形容詞）,人の気力をくじく、困難な、手ごわい、おびえさせる
downright（形容詞）,全くの、徹底的な、率直な、はっきりした（限定用法）
downright（副詞）,徹底的に、全く
glowing（形容詞）,熱のこもった、絶賛の、白熱した、ほてった（限定用法が多い）
inexorable（形容詞）,（運命などが）変えられない、防げない
lurid（形容詞）,けばけばしい、ぞっとする、恐ろしい
motley（形容詞）,雑多な、ごたまぜの、寄せ集めた（限定用法）
motley（名詞）,雑色、（道化師の）まだらの服
overblown（形容詞）,大げさな、度が過ぎた、盛りを過ぎた
pernicious（形容詞）,有害な、致命的な、命にかかわる、悪性の
pleading（形容詞）,訴える（ような）、嘆願する（ような）
pleading（名詞）,申し開き、弁護、嘆願
prodigious（形容詞）,素晴らしい、ひどい、驚くほど、けた外れの、莫大な
rife（形容詞）,（悪い事が）広まって、はびこって、（場所などが）…に満ちて（叙述用法）
seminal（形容詞）,重要で影響力の大きい、精液の
sizable（形容詞）,かなり大きな
stellar（形容詞）,一流の、花形の、際立った、星の（ような）
sweeping（形容詞）,広範囲にわたる、包括的な、徹底的な、完全な
tenuous（形容詞）,（関係などが）希薄な、（意見などが）内容がない、（根拠などが）薄弱な、薄い、細い
veritable（形容詞）,（実際よりも誇張して）真の、本当の、紛れもない（限定用法）
anew（副詞）,もう一度、再び、新たに、別の方法で
amply（副詞）,（動詞の前で）十分に、たっぷり、（動詞の後で）広く、詳細に、はっきりと
overly（副詞）,あまりにも、過度に、とても
artifice（名詞）,巧みな策略、術策、ぺてん
abate（他動詞）,…を和らげる、…を減ずる、…を無効にする、…を却下する
abate（自動詞）,和らぐ、収まる
bile（名詞）,かんしゃく、不機嫌、胆汁
sultan（名詞）,サルタン（イスラム教国の君主）、暴君
abdicate（自動詞）,退位する、辞任する
abdicate（他動詞）,（王位）を退く、…を放棄する
lesion（名詞）,損傷、（機能）障害、病巣
accede（自動詞）,（地位・職に）就く、継承する、加盟する、同意する、応じる
duchy（名詞）,（しばしばDuchyで）公爵領、公国、（英国の）王族公領
arbitration（名詞）,仲裁、調停
allay（他動詞）,…を和らげる、…を静める、（疑惑）を解消する
hemorrhage（名詞）,（資金・頭脳などの）国外流出、大出血、損失
amalgamate（自動詞）,合併する、融合する
amalgamate（他動詞）,（会社など）を合併する、…を融合する
confederation（名詞）,同盟、連合（国）、連邦
incursion（名詞）,（突然の）侵入、襲撃、流入
annihilate（他動詞）,…を滅ぼす、…を全滅させる、…に圧勝する
annexation（名詞）,（領土などの）併合、付加
municipality（名詞）,地方自治体、市［町］当局
augment（他動詞）,…を増やす、…を増大させる、…を増加させる
destitution（名詞）,貧困、極貧、欠乏（状態）
beget（他動詞）,（好ましくないもの）を生み出す、…の原因となる、…の父親になる
iniquity（名詞）,不法（行為）、悪行、非道
decorum（名詞）,礼儀正しさ、上品さ、（decorumsで）礼儀作法、礼節
belie（他動詞）,…と矛盾する、…が偽りであることを示す、（期待など）を裏切る
quay（名詞）,埠頭、岸壁、波止場
billow（自動詞）,（帆・旗などが）膨らむ、はためく、（炎・煙などが）渦巻く、うねる
billow（名詞）,（炎や煙の）うねり、大波
capricious（形容詞）,気まぐれな、移り気な、不規則な、不安定な
bode（他動詞）,…の前兆となる、…を予兆する
auspicious（形容詞）,幸先のよい、めでたい、吉兆の
subversion（名詞）,（政府の）転覆、破壊
cleave（他動詞）,…を切り裂く、（道など）を切り開く、…を分裂させる、…を裂く
cleave（自動詞）,①割れる、裂ける　②執着する、くっつく
iris（名詞）,（眼球の）虹彩、アイリス（アヤメ科の植物）
constrict（他動詞）,…を収縮させる、…を締め付ける、（発展・成長）を抑える
corrode（他動詞）,…を腐食させる、…をさびさせる、…をむしばむ
corrode（自動詞）,腐食する、さびつく、むしばまれる
keel（名詞）,（船の）竜骨、竜骨に似たもの
keel（自動詞）,（keel overで）（船が）転覆する、（人が）倒れる、卒倒する
dinghy（名詞）,小船、小ボート、小型ヨット
decentralize（自動詞）,分散する、地方分権化する
decentralize（他動詞）,…を分散させる、…を分割する、…を地方分権にする
environs（名詞）,（都市の）近郊、周辺地域、郊外（複数扱い）
insecticide（名詞）,殺虫（剤）
decimate（他動詞）,…の多くを殺す、…をかなり減らす、…を衰退させる
detrimental（形容詞）,有害な、不利益な
noxious（形容詞）,不快な、有毒な、有害な
garish（形容詞）,けばけばしい、どぎつい、凝りすぎた、まぶしい
detract（自動詞）,（価値・名声などを）損なう、減じる
amphitheater（名詞）,円形劇場、（古代ローマの）円形競技場
arsenic（名詞）,ヒ素
arsenic（形容詞）,ヒ素の、ヒ素を含む
dilate（他動詞）,…を拡張させる、…を膨らませる、（体の器官）を広げる
dilate（自動詞）,拡張する、膨張する、広がる
sorcerer（名詞）,魔法使い、魔術師、妖術使い
wand（名詞）,（魔法の）つえ（magic wand）、（しなやかな）細い枝、棒
leaden（形容詞）,鉛の、鉛色の、（鉛のように）重い、活気のない、悲しい、のろい
dissipate（自動詞）,（雲などが）消散する、（群衆などが）解散する
dissipate（他動詞）,…を散らす、…を追い払う、…を消す、…を分散させる
vantage（名詞）,見晴らしのよい地点（vantage point）、有利、優越、優勢
drizzle（自動詞）,（通常itを主語にして）霧雨が降る
drizzle（名詞）,霧雨
armistice（名詞）,休戦、停戦（協定）
emancipate（他動詞）,（人）を解放する、…を自由にする
encroach（自動詞）,侵入する、侵害する、侵犯する、侵食する
periphery（名詞）,（通常the peripheryで）周辺、周囲、（政治団体の）非主流派
depletion（名詞）,減少、枯渇、消耗
engender（他動詞）,…を生じさせる、…を発生させる、…を引き起こす
squalid（形容詞）,むさ苦しい、不潔な、卑しい、下劣な
stubble（名詞）,無精ひげ、刈り株（に似たもの）
epitomize（他動詞）,…を縮図的に示す、…の典型である、…を要約する
vagabond（名詞）,放浪者、浮浪者
exude（他動詞）,（液体など）をにじみ出す、（感情など）をあふれ出させる
exude（自動詞）,（液体などが）にじみ出る、染み出す、吹き出る
stench（名詞）,（通常a [the] stenchで）悪臭、（不正などの）気配
forfeit（他動詞）,…を没収される、…を失う、…を犠牲にする
forfeit（名詞）,没収、剥奪、没収物、罰金
breadwinner（名詞）,（通常the breadwinnerで）（一家の）稼ぎ手、大黒柱
orchid（名詞）,ラン（植物）
germinate（自動詞）,（種が）芽を出す、発芽する、（アイデアが）生まれる、成長し始める
germinate（他動詞）,…を発芽させる
conservatory（名詞）,（家屋に付属した）温室、芸術学校、音楽学校
sheath（名詞）,（刀剣の）さや、さや状の覆い、屋根、（体に）ぴったりしたドレス
inlaid（形容詞）,（模様を表面に）はめ込んだ、散りばめた、象眼装飾した
glint（自動詞）,きらっと光る、きらめく、きらきら反射する、（目が）輝く
glint（名詞）,輝き、閃光
gurgle（自動詞）,（水が）ゴボゴボ流れる［音を立てる］、（赤ん坊などが）のどを鳴らす
vale（名詞）,谷、谷間
impinge（自動詞）,支障を来す、障害となる、（権利を）侵害する、作用する
oneness（名詞）,一体感、単一性、統一性、一致
neurosis（名詞）,神経症、ノイローゼ
hypnosis（名詞）,催眠状態、夢幻状態、催眠術
interlock（他動詞）,…を組み合わせる、…を重ね合わせる、…を連動させる
interlock（自動詞）,組み合う、重なり合う、連動する
precipitous（形容詞）,切り立った、険しい、断崖絶壁の、急激な、大急ぎの
jut（自動詞）,突き出る、張り出す
