symposium（名詞）,シンポジウム、討論会
droop（他動詞）,…を垂らす
droop（名詞）,垂れ（てい）ること、垂下
electrify（他動詞）,（鉄道・住宅など）を電化する、…に電力を供給する、…を感電させる
gorge（名詞）,峡谷、通り道をふさぐもの
gorge（他動詞）,（gorge oneself で）腹いっぱいに詰め込む
icon（名詞）,イコン、偶像、偶像視される人、（コンピューターの）アイコン
embody（他動詞）,…を具象化する、…を具体化する
motherhood（名詞）,母性、母であること
erupt（自動詞）,（火山が）噴火する、（溶岩などが）噴出する
erupt（他動詞）,（溶岩など）を噴出させる
reef（名詞）,岩礁、暗礁、砂州、鉱脈
humane（形容詞）,人間味のある、慈悲深い、人道的な
enmity（名詞）,憎しみ、恨み、敵意
evaporate（自動詞）,消える、消滅する、蒸発する
evaporate（他動詞）,…を蒸発させる
freshen（他動詞）,…をさっぱりさせる、…を元気づける、…を新しくする
freshen（自動詞）,新しくなる
dreary（形容詞）,わびしい、物憂い
showroom（名詞）,ショールーム、陳列室
muscular（形容詞）,たくましい、筋肉の発達した、力強い
tattoo（名詞）,入れ墨
tattoo（他動詞）,…に入れ墨をする
glisten（自動詞）,ぎらぎら光る、きらきら輝く
glisten（名詞）,きらめき、閃光
manifesto（名詞）,マニフェスト、政権公約、宣言、声明
incur（他動詞）,…を被る、…に陥る、…を招く
condemnation（名詞）,（激しい）非難、有罪宣告
constituency（名詞）,支持者、後援団体、有権者、選挙区
modernize（他動詞）,…を現代風にする、…を当世風にする、…を近代［現代］化する
headdress（名詞）,頭飾り、ヘアスタイル
vogue（名詞）,（一時的な）流行、はやり、人気
constituent（名詞）,成分、構成物質［要素］、選挙有権者
constituent（形容詞）,構成する、選挙権を有する（限定用法）
cauliflower（名詞）,カリフラワー、ハナキャベツ
neutralize（他動詞）,…を無効にする、…を中和する
cholesterol（名詞）,コレステロール
vendor（名詞）,売人、物売り、行商人、売り子
outnumber（他動詞）,…を数で上回る、…に数で勝る
shopper（名詞）,買物客、宣伝ビラ
boulevard（名詞）,大通り、広い並木道
racist（名詞）,人種差別主義者
racist（形容詞）,人種差別主義者の
perpetuate（他動詞）,…を永続的な［不朽の］ものにする、…を永存させる
supremacy（名詞）,優位（性）、優越（性）、最高（級）、最高位
militant（形容詞）,好戦的な、武力［暴力］に訴える、交戦中の
militant（名詞）,闘争的［好戦的］な人
pervade（他動詞）,…中に広がる、…に充満する、…全体に普及［浸透］する
enrollment（名詞）,入学、記載、登録（者数）
preparatory（形容詞）,予備の、進学準備の、前置きの（限定用法）
plummet（自動詞）,（物価・株価などが）落ち込む、急落する、真っすぐに落ちる
intrinsic（形容詞）,本来備わっている、固有の、本質的な
kidney（名詞）,腎臓、気質
purify（他動詞）,…を浄化する、…から不純物を取り除く
tumor（名詞）,腫瘍
recur（自動詞）,再発する、（数字などが）循環する
lethal（形容詞）,致命的な、死に至る、（薬などが）致死量の、（攻撃などが）決定的な
forefinger（名詞）,人さし指、食指
redden（自動詞）,赤くなる
redden（他動詞）,…を赤くする
inflammation（名詞）,炎症
sliding（形容詞）,引いて開ける方式の、滑る
depot（名詞）,倉庫、（バスなどの）発着所、車庫
squeak（自動詞）,キーキー音を立てる、チューチュー鳴く
squeak（名詞）,きしる音
contamination（名詞）,汚染、汚濁、汚染物質
stink（自動詞）,悪臭を放つ
stink（名詞）,悪臭、悪評
sardine（名詞）,イワシ
tart（形容詞）,ぴりっとした、酸っぱい、辛辣な
muffin（名詞）,マフィン
taint（他動詞）,（食べ物）を傷ませる、（空気・水など）を汚染する、（名誉・評判など）を汚す
taint（名詞）,痕跡、汚染、汚点、不名誉
taper（自動詞）,次第に減る［小さくなる］、先細になる
taper（他動詞）,…を徐々にやめる
taper（名詞）,先細になること
unprecedented（形容詞）,前例［先例］のない、空前の
sanction（名詞）,制裁（措置）、認可
sanction（他動詞）,…を制裁する、…を認可する
chronic（形容詞）,（病気が）慢性の、（好ましくない状況が）長い間続いている、年来の（限定用法）
ailment（名詞）,病気、不快
void（名詞）,喪失感、空虚感、空間
void（形容詞）,無効の、欠けた
void（他動詞）,…を無効にする
undermine（他動詞）,（健康・体力など）を徐々に衰えさせる、（名声など）をひそかに傷つける、…の下を掘る、…に坑道を掘る
validate（他動詞）,…を法的に有効にする、…の正当性を立証する、（コンピューターで）…を認証する
segregation（名詞）,人種差別（待遇）、分離
holocaust（名詞）,大虐殺、大破壊、（the Holocaust で）ナチスによるユダヤ人虐殺
scrutiny（名詞）,精密な調査、監視
attest（自動詞）,証明する、証言する
attest（他動詞）,…を証明［実証］する、…の証拠となる
validity（名詞）,正当性、妥当（性）、効力
socioeconomic（形容詞）,社会経済の、社会経済的な
barter（他動詞）,…を物々交換する
barter（名詞）,物々交換
poultry（名詞）,家禽、飼っている鳥類（以上は複数扱い）、家禽の肉（以上は単数扱い）
collaborate（自動詞）,協力する
vegetation（名詞）,植生、植物
converse（自動詞）,談話する、意見を交わす
organizer（名詞）,主催者、組織者、（情報などを）整理するもの
malicious（形容詞）,悪意のある、意地の悪い
degrade（他動詞）,…の体面を傷つける、…の評判を落とす、…の品質［品位］を落とす
degrade（自動詞）,堕落する、品位を落とす
broadcaster（名詞）,（テレビの）キャスター、アナウンサー、放送出演者
denounce（他動詞）,…を（公然と）非難する、…を告発する
superstar（名詞）,スーパースター
misfit（名詞）,はみ出し者、よく合わないもの
dub（他動詞）,…にあだ名をつける
mindless（形容詞）,愚かな、思慮のない、容赦しない
earthworm（名詞）,ミミズ
empower（他動詞）,…に権利を与える、…の地位を向上させる
inhuman（形容詞）,非人間的な、冷酷な
sovereignty（名詞）,統治権、主権、君主であること、独立国
entice（他動詞）,…をそそのかす、…を誘惑する
